,GSM77082,GSM77083,GSM78821,GSM78822,GSM78823,GSM78824,GSM78825,GSM78826,GSM78827,GSM78828,GSM78829,GSM78830
1450165_at,125.7,93.8,66.6,64,92.7,58.1,11.1,18.4,225.5,137.5,150.8,130
1450166_at,46.6,39,17.8,7,63.8,35,6.8,16.9,79.2,11.2,23.6,16.7
1450167_at,6.2,35,18.3,12.9,30.3,17.7,3.6,1.8,32.7,7.7,2.4,9.5
1450168_at,30.7,20,13.2,8.9,29.4,41.6,10.2,14.5,35.2,12.1,13.6,17.6
1450169_at,49.9,30.8,0.9,1,15.2,19,10.5,13.6,49.9,3,3.1,3.7
1450170_x_at,27.1,23.4,19.2,12.8,27.1,11,16.5,6.5,26.9,26.5,22.8,17
1450171_x_at,3.2,11.9,5.1,0.7,155.9,378.7,53.4,82.3,1.1,0.9,1.7,1.4
1450172_at,297.8,429,105.7,117.4,102.8,145.7,40.9,46.7,115.8,43.5,30.7,36
1450173_at,164.8,149,37.4,42.2,258.9,395.4,115.3,130.6,273.9,60.7,47.9,77.2
1450174_at,56.9,48,15.9,22.3,35.3,62.1,1.1,4,93.7,12.6,12.1,14.1
1450175_a_at,1,2.5,10.3,4,17.7,0.9,3.1,4,9.7,0.5,1.1,2.3
1450176_at,53.8,63.7,15.6,13.6,28.9,19.7,9.3,18.5,38.4,11.7,10,6.5
1450177_at,19.1,9.2,2.2,2.4,3.9,2.5,0.8,1.1,3.5,4.2,2.6,1.7
1450178_at,52.1,18,19.4,34.8,7.5,4.4,0.8,11.4,81.4,28.4,20.3,47.2
1450179_at,5.9,5.2,3.5,2,22.3,27.2,0.7,10.6,4.5,2.6,13.1,2.4
1450180_a_at,9.1,8.6,3.1,6,54.3,27.1,14.6,14.6,33.8,20.3,17.7,5.9
1450181_at,24.3,21.5,2.8,12.7,24.6,4.5,1.5,15.7,14.3,13.5,5,14.4
